requirement_id,source_clause,current_status,owning_implementation_path,test_id,candidate_sha,evidence_file_or_hash,reviewer,blocker
CORE-11,"Client Essential J",PASS_TECHNICAL,"invoice templates; invoice lifecycle repositories",e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"future issuer identity D11 pending"
CORE-12,"Client Essential K",PASS_TECHNICAL,"payment/reversal repositories; ledger routes",e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
CORE-13,"Client Essential L",PASS_TECHNICAL,"packages/reporting; accounting pack and export routes",artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"human Accounting workbook acceptance pending"
CORE-14,"Client Essential B",PASS_PRODUCTION,"portal/website responsive UI and localization",e2e-accessibility-responsive+production-live-locales,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"human marketing/legal content approval pending"
CORE-15,"Client Essential C/M",PASS_TECHNICAL,"private-artifact-access.ts; authorization; auth audit",security-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"security-owner credential rotation assessment pending"
CORE-16,"Client Essential N",PASS_PRODUCTION,"artifact jobs; compose jobs service",production-two-automatic-cycles,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,
CORE-17,"Client Essential O; Owner continuity waiver",PASS_PRODUCTION,"deployment; backup/rollback; Caddy",production-deploy-exact-candidate+production-caddy-boundary,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,"separate-host restoration explicitly waived"
T01,"Verification 3 T01",PASS_TECHNICAL,"strict ISO date validators",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T02,"Verification 3 T02",PASS_TECHNICAL,"billing-engine minimum allocation",unit-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T03,"Verification 3 T03",PASS_TECHNICAL,"time/money commercial policies",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T04,"Verification 3 T04",PASS_TECHNICAL,"billing-engine percentage/overtime",unit-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T05,"Verification 3 T05",PASS_TECHNICAL,"travel policy dimensions",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T06,"Verification 3 T06",PASS_TECHNICAL,"effective workforce/customer/cost rates",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T07,"Verification 3 T07",PASS_TECHNICAL,"time correction/draft deletion lifecycle",focused-correction-authority-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T08,"Verification 3 T08",PASS_TECHNICAL,"transactional time/expense approval and update",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"tested with distinct SQLite connections"
T09,"Verification 3 T09",PASS_TECHNICAL,"customer report allowlist/worker attribution",artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,
T10,"Verification 3 T10",PASS_TECHNICAL,"conformity exact source/PDF/hash binding",e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T11,"Verification 3 T11",PASS_TECHNICAL,"labor/expense streams and tax profiles",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"production tax/cadence decisions pending"
T12,"Verification 3 T12",PASS_TECHNICAL,"invoice batch/idempotency/sequence",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T13,"Verification 3 T13",PASS_TECHNICAL,"issued snapshot and corrections",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,
T14,"Verification 3 T14",PASS_TECHNICAL,"expense reimbursement/recovery independence",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T15,"Verification 3 T15",PASS_TECHNICAL,"collections/refunds/reversals",e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T16,"Verification 3 T16",PASS_PRODUCTION,"role projections/private downloads",security-final+e2e-32-step+production-authenticated-worker-confidentiality,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T17,"Verification 3 T17",PASS_TECHNICAL,"typed XLSX exporter",artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"human Accounting usability review pending"
T18,"Verification 3 T18",PASS_TECHNICAL,"typed CSV formula policy",reporting-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,
T19,"Verification 3 T19",PASS_PRODUCTION,"independent artifact jobs/retry",production-two-automatic-cycles,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,
T20,"Verification 3 T20",PASS_TECHNICAL,"anonymized invoice fixtures and reconciliation",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
T21,"Verification 3 T21",PASS_PRODUCTION,"job leases/attempt fencing",production-two-automatic-cycles,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,
T22,"Verification 3 T22",PASS_TECHNICAL,"website content and invoice snapshot issuer",build-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"localized content approval pending"
T23,"Verification 3 T23",PASS_WITH_OWNER_WAIVER,"continuity backup/rollback",continuity-local-final+production-deploy-exact-candidate,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,"separate-host restoration explicitly waived"
T24,"Verification 3 T24",PASS_PRODUCTION,"EN/ES/PT artifacts and responsive UI",artifact-readers+e2e-accessibility-responsive+production-live-locales,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"human Worker/content approval pending"
MANUAL-01,"Handoff 15; WP08",GENERATED_READER_CHECKED,"docs/manuals/Employee_Field_Guide_*.pdf; generate-client-ready-manuals.ts",e2e-manual-capture-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"human Worker walkthrough pending"
WEB-01,"Handoff 10",PASS_PRODUCTION,"website app/components/content",build-final+production-caddy-boundary,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"Owner localized content/image approval pending"
FISCAL-01,"Owner fiscal/facturación decision block 2026-09-06",PARTIAL_OWNER_INPUT,"invoice profile/tax/series/due-date/issue authorization",integration-final+e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,OWNER_DECISIONS.md,final_candidate_review:ship,"verified EIN/TIN; tax/legal address; approved tax profiles and due-date policy pending"
DPA-01,"Owner DPA/retention decision block 2026-09-06",TECHNICAL_INVENTORY_COMPLETE_AWAITING_APPROVAL,"deployment/runtime inventory; archive/legal-hold behavior",production-hosting-processor-dns-inventory,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"express DPA/subprocessor/transfer/retention approval pending"
HUMAN-01,"Owner human acceptance block 2026-09-06",NOT_VERIFIED,"Owner/Worker/Accounting/content/signatory acceptance",production-authenticated-owner-smoke+production-authenticated-worker-confidentiality,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,RUN_REPORT.md,final_candidate_review:ship,"formal signers and recorded human approvals pending"
A01,"Handoff 02 A01",PASS_PRODUCTION,"client/project repositories and project routes",production-live-worker-flow-complete,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
A02,"Handoff 02 A02",PASS_PRODUCTION,"workforce; auth; scoped navigation; authorization",production-authenticated-worker-confidentiality+security-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
A03,"Handoff 02 A03",PASS_PRODUCTION,"time-entry-repository; TimeSection; approval routes",focused-correction-authority-final+production-live-worker-flow-complete,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
A04,"Handoff 02 A04",PASS_TECHNICAL_CONFIG_REQUIRED,"billing-engine; commercial time slices",unit-final+integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"per-contract minimum boundary/eligibility remains D02"
A05,"Handoff 02 A05",PASS_TECHNICAL_CONFIG_REQUIRED,"money; billing-engine; commercial/finance rules",unit-final+integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"per-contract overtime/contribution values remain D03/D05"
A06,"Handoff 02 A06",PASS_TECHNICAL_CONFIG_REQUIRED,"compensation rules; worker statements",unit-final+integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"per-contract basis/trigger remains D04"
A07,"Handoff 02 A07",PASS_PRODUCTION,"worker statements; worker pay routes",e2e-32-step+production-live-worker-flow-complete,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"payment-date operating rule remains D15"
A08,"Handoff 02 A08",PASS_TECHNICAL,"FinanceOverview; projections; ledger",e2e-32-step+artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,
A09,"Handoff 02 A09",PASS_PRODUCTION,"reports; technical changes; private documents",production-live-worker-flow-complete+production-two-automatic-cycles,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
A10,"Handoff 02 A10",PASS_PRODUCTION,"expense classification; expense routes; finance",production-live-worker-flow-complete+integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"per-contract all-in selection remains D01"
A11,"Handoff 02 A11",PASS_PRODUCTION,"private document upload/download; expense routes",production-live-worker-flow-complete+security-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
A12,"Handoff 02 A12",PASS_TECHNICAL_CONFIG_REQUIRED,"billing-engine; Labor/Expense streams",integration-final+e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"cadence/due-date policy remains D07/D08"
A13,"Handoff 02 A13",PASS_TECHNICAL,"billing repositories; invoice templates; payment ledger",integration-final+e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,
A14,"Handoff 02 A14",PASS_TECHNICAL_CONFIG_REQUIRED,"independent Labor/Expense tax profiles and issue gate",integration-final+e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"verified tax identity/profile approval remains D09/D11"
A15,"Handoff 02 A15",PASS_TECHNICAL,"accounting revisions; typed exports; ledger",artifact-readers+reporting-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"human Accounting approval pending"
A16,"Handoff 02 A16",PASS_PRODUCTION,"website/portal/report localization and responsive UI",production-live-locales+e2e-accessibility-responsive,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"human marketing/legal content approval pending"
A17,"Handoff 02 A17",PASS_PRODUCTION,"jobs; readiness; reports; billing",production-two-automatic-cycles+e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,
A18,"Handoff 02 A18",PARTIAL_EXTERNAL,"jobs/outbox/mail integration",security-final+production-hosting-processor-dns-inventory,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"current external delivery/DKIM check excluded by explicit no-mail-touch instruction"
A19,"Handoff 02 A19",DEFERRED_BY_OWNER,"offline drafts/receipts; duplicate guards",offline-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"offline expansion explicitly not a go-live requirement"
A20,"Handoff 02 A20; Owner authentication override 2026-09-06",PASS_PRODUCTION,"auth; authorization; allocation; private artifacts",security-final+production-authenticated-worker-confidentiality,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"MFA optional and step-up absent by controlling Owner decision"
A21,"Handoff 02 A21",PASS_TECHNICAL,"finance; ledger; reports; project close",integration-final+artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"forecast remains optional and requires planning data"
A22,"Handoff 02 A22",PASS_TECHNICAL,"customer conformity; money-free audience projections",e2e-32-step+artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"formal eligible signer identities remain D10"
A23,"Handoff 02 A23",PASS_PRODUCTION,"projects; workforce; invoices; finance dates",production-live-worker-flow-complete+e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"worker payment scheduling semantics remain D15"
WEB,"Handoff 02 WEB",PASS_PRODUCTION,"website pages/content/locales",build-final+production-live-locales+production-caddy-boundary,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"human marketing/legal approval pending"
MAIL,"Handoff 02 MAIL",PARTIAL_EXTERNAL,"application outbox/mail integration; public DNS",security-final+production-hosting-processor-dns-inventory,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"no current mail mutation/send allowed; DKIM/external delivery operator check pending if required"
OPS,"Handoff 02 OPS",PASS_TECHNICAL_AWAITING_DPA,"deployment; local backup/rollback; hosting/processor inventory",production-deploy-exact-candidate+production-hosting-processor-dns-inventory,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,"DPA/retention/legal transfer approval pending; separate-host restore waived"
MANUAL,"Handoff 02 MANUAL",GENERATED_READER_CHECKED,"frozen employee PDF manuals EN/ES/PT-BR",e2e-manual-capture-final+artifact-readers,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,ARTIFACT_MANIFEST.json,final_candidate_review:ship,"human Worker walkthrough pending"
